tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Phòng trọ mặt tiền khu phố ẩm thực Q6,40 m,3300000,Quận 6,PhongTro,1,40.0,3300000.0,Quận 6,Phòng trọ,82500.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng mới 100% trung tâm Quận 6,30 m,4600000,Quận 6,PhongTro,1,30.0,4600000.0,Quận 6,Phòng trọ,153333.33333333334,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng full nội thất gần Hồng Bàng,30 m,4000000,Quận 6,PhongTro,1,30.0,4000000.0,Quận 6,Phòng trọ,133333.33333333334,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng đẹp đường Văn Thân,20 m,4800000,Quận 6,PhongTro,1,20.0,4800000.0,Quận 6,Phòng trọ,240000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Chính chủ cho thuê phòng full nội thất,25 m,4500000,Quận 6,PhongTro,1,25.0,4500000.0,Quận 6,Phòng trọ,180000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Căn hộ 2PN gần chợ trường học,30 m,6500000,Quận 6,PhongTro,1,30.0,6500000.0,Quận 6,Phòng trọ,216666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng vừa ở vừa kinh doanh,15 m,5000000,Quận 6,PhongTro,1,15.0,5000000.0,Quận 6,Phòng trọ,333333.3333333333,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Share phòng mới full nội thất có ban công,30 m,3300000,Quận 6,PhongTro,1,30.0,3300000.0,Quận 6,Phòng trọ,110000.0,Thấp (<4 triệu),Vừa (25-50m²),False,True,False,True,False,False,False
Phòng tách bếp full nội thất có sân thượng,40 m,3600000,Quận 6,PhongTro,1,40.0,3600000.0,Quận 6,Phòng trọ,90000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng trọ Lò Gốm,19 m,2000000,Quận 6,PhongTro,1,19.0,2000000.0,Quận 6,Phòng trọ,105263.15789473684,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng mới 100% Hậu Giang Bình Phú,30 m,3800000,Quận 6,PhongTro,1,30.0,3800000.0,Quận 6,Phòng trọ,126666.66666666667,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng mới ban công gần vòng xoay Phú Lâm,30 m,4300000,Quận 6,PhongTro,1,30.0,4300000.0,Quận 6,Phòng trọ,143333.33333333334,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
Phòng trọ ưu đãi An Dương Vương,30 m,3000000,Quận 6,PhongTro,1,30.0,3000000.0,Quận 6,Phòng trọ,100000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng An Dương Vương,25 m,3200000,Quận 6,PhongTro,1,25.0,3200000.0,Quận 6,Phòng trọ,128000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng có gác đầy đủ nội thất cơ bản,28 m,4000000,Quận 6,PhongTro,1,28.0,4000000.0,Quận 6,Phòng trọ,142857.14285714287,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Studio cửa sổ trời full nội thất,25 m,3800000,Quận 6,PhongTro,1,25.0,3800000.0,Quận 6,Phòng trọ,152000.0,Thấp (<4 triệu),Nhỏ (<25m²),True,False,False,True,False,True,False
Phòng trọ mặt tiền Bến Phú Lâm,15 m,1900000,Quận 6,PhongTro,1,15.0,1900000.0,Quận 6,Phòng trọ,126666.66666666667,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng máy lạnh gần Lotte Mart,16 m,3200000,Quận 7,PhongTro,1,16.0,3200000.0,Quận 7,Phòng trọ,200000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng full nội thất gần PMH,25 m,4500000,Quận 7,PhongTro,1,25.0,4500000.0,Quận 7,Phòng trọ,180000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng trọ giá từ 2.5 triệu Quận 7,25 m,2500000,Quận 7,PhongTro,1,25.0,2500000.0,Quận 7,Phòng trọ,100000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ cho sinh viên nữ hoặc cặp vợ chồng,30 m,4000000,Quận 7,PhongTro,1,30.0,4000000.0,Quận 7,Phòng trọ,133333.33333333334,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ Bùi Văn Ba gần KCX,20 m,3500000,Quận 7,PhongTro,1,20.0,3500000.0,Quận 7,Phòng trọ,175000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
